full_name,flb_team_init,player_id,injured_list
Mason Miller,EEB,millema03,
Henry Davis,BEB,davishe01,
Brandon Pfaadt,VWB,pfaadbr01,
Will Benson*,PMT,bensowi01,
Colton Cowser*,EEB,cowseco01,Y
Brice Turang*,DHL,turanbr02,
Justin Topa,KLQ,topaju01,
Zach McKinstry*,DHL,mckinza01,
Ceddanne Rafaela,BFP,rafaece01,
Cody Bradford*,GST,bradfco01,Y
Jordan Westburg,KLQ,westbjo01,
Jeff Hoffman,GFB,hoffmje02,
Ronel Blanco,GST,blancro01,
Joe Boyle,RHJ,boylejo01,
Bryan Woo,BFP,woobr01,
Kevin Kelly,KSS,kellyke02,
Fernando Cruz,DHL,cruzfe01,
JP Sears*,PMT,searsjp01,
Johan Rojas,GFB,rojasjo03,
Gavin Stone,BEB,stonega01,
Will Vest,DHL,vestwi01,
Jake Fraley*,GST,fraleja01,
Phil Maton,ZMG,matonph01,
Mickey Moniak*,KLQ,moniami01,
Justin Lawrence,MHM,lawreju01,
Matt Wallner*,MHM,wallnma01,
Ronny Mauricio,EEB,mauriro01,
Paul Skenes,RHJ,skenepa01,
Jackson Merrill,KSS,merrija01,
Wyatt Langford,KLQ,langfwy01,
Jackson Chourio,BFP,chourja01,
Shota Imanaga,MHM,imanash01,
James Wood,CEC,woodja03,
Connor Wong,PMT,wongco01,
Jackson Holliday,MHM,hollija01,
Dylan Crews,BEB,crewsdy01,
Mark Vientos,CEC,vientma01,
Yoshinobu Yamamoto,KLO,yamamyo01,
Spencer Schwellenbach,DHL,schwesp01,Y
Jared Jones,ZMG,jonesja09,
Luis Gil,GFB,gillu01,
Jackson Jobe,BFP,jobeja01,
Lawrence Butler,KSS,butlela01,
Brenton Doyle,RHJ,doylebr02,
Heliot Ramos,KLO,ramoshe02,
José Soriano,KLQ,soriajo02,
Coby Mayo,EEB,mayoco01,
Alec Burleson,CEC,burleal01,
Jacob Wilson,CEC,wilsoja05,
Willi Castro,PMT,castrwi01,
Andy Pages,MHM,pagesan01,
Connor Norby,BEB,norbyco01,
Cade Smith,EEB,smithca06,
Orion Kerkering,KLO,kerkeor01,
Spencer Arrighetti,DHL,arrigsp01,
Colt Keith,ZMG,keithco01,
Michael Toglia,GFB,toglimi01,
Kirby Yates,KSS,yateski01,
Kumar Rocker,GST,rockeku01,
Luis Ortiz,RHJ,ortizlu03,
Ryan Walker,BFP,walkery01,
Wilyer Abreu,KLQ,abreuwi02,
Bowden Francis,KSS,francbo01,
Rhett Lowder,CEC,lowderh01,Y
Josh Smith,PMT,smithjo11,
Tobias Myers,MHM,myersto01,
Hayden Birdsong,BEB,birdsha01,
Kyle Manzardo,KSS,manzaky01,
Justin Martinez,VWB,martiju01,
Josh Jung,ZMG,jungjo01,
Trevor Megill,GFB,megiltr01,
JJ Bleday,VWB,bledajj01,
DJ Herz,RHJ,herzdj01,
Xavier Edwards,GST,edwarxa01,
Hunter Gaddis,KLQ,gaddihu01,
Ben Brown,EEB,brownbe02,
Jeremiah Estrada,KSS,estraje01,
Luke Weaver,PMT,weavelu01,
Porter Hodge,MHM,hodgepo01,
Ryan Yarbrough,KSS,yarbrry01,
Simeon Woods Richardson,KLO,woodssi01,
Randy Rodríguez,DHL,rodrira02,
Clarke Schmidt,ZMG,schmicl01,
Jakob Junis,GFB,junisja01,
Ben Lively,KSS,livelbe01,
Albert Suárez,MHH,suareal01,
Luisangel Acuña,RHJ,acunajo01,
Ivan Herrera,GST,herreiv01,
Jose Butto,KLQ,buttojo01,
Edwin Uceta,CEC,ucetaed01,
Ernie Clement,PMT,clemeer01,
Cole Sands,MHM,sandsco01,
Keegan Akin,EEB,akinke01,
Jung Hoo Lee,EEB,leeju01,
Austin Wells,KLO,wellsau01,
Joey Estes,DHL,estesjo01,
José Caballero,GFB,cabaljo01,
Ryne Nelson,MHH,nelsory01,
Gavin Lux,MHH,luxga01,
Joey Loperfido,RHJ,loperjo01,
Parker Meadows,BEB,meadopa01,
Colin Rea,KSS,reaco01,
Andrew Kittredge,KSS,kittran01,
Blake Treinen,PMT,treinbl01,
Alec Marsh,MHM,marshal01,Y
Jack Leiter,EEB,leiteja01,
David Festa,DHL,festada01,
Jared Koenig,ZMG,koenija01,
Michael McGreevy,GFB,mcgremi01,
Lucas Erceg,GST,erceglu01,
Korey Lee,VWB,leeko01,
Kevin Alcántara,RHJ,alcanke01,
Rob Refsnyder,GST,refsnro01,
Jace Jung,KSS,jungja01,
Jose Iglesias,KSS,iglesjo01,
Tyler Soderstrom,CEC,soderty01,
Reid Detmers,BEB,detmere01,
Spencer Horwitz,KSS,horwisp01,
Thomas Saggese,GFB,saggeth01,
Hogan Harris,KSS,harriho03,
Otto Lopez,BFP,lopezot01,
Jake Irvin,KLQ,irvinja01,
Kyle Higashioka,GST,higasky01,
Jonathan Aranda,CEC,arandjo01,
Paul DeJong,MHM,dejonpa01,
Brooks Lee#,BEB,leebr02,
Freddy Fermin,MHH,fermifr01,
Adrian Morejon,KLO,morejad01,
Alex Call,MHH,callal02,
Grant Holmes,VWB,holmegr01,
Alexander Canario,RHJ,canaral01,
Jake Meyers,MHH,meyerja02,
Yimi Garcia,CEC,garciyi01,
Jacob Young,PMT,youngja03,
Jose UreÃ±a,MHM,urenajo01,
Danny Jansen,DHL,janseda01,
Joey Cantillo,CEC,cantijo01,
Mike Tauchman,DHL,tauchmi01,
Robbie Ray,GST,rayro02,
Trey Sweeney,VWB,sweentr01,
Brant Hurter,GFB,hurtebr01,
Edouard Julien	julieed01,GST,julieed01,
